,l1_title,l1_url,l1_pageid,l2_url,l2_id,l2_title,l2_pageid,l3_url,l3_id,l3_title,l3_pageid,l4_url,l4_id,l4_title,l4_pageid,l5_url,l5_id,l5_title,l5_pageid
59,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1307,X1.21,第13章——项目相关方管理变更,1307,,,,,,,,
60,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1308,X1.22,术语表,1308,,,,,,,,
61,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1248,X2,附录X2第六版《PMBOK®指南》编审人员,1248,,,,,,,,,,,,
62,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1249,X3,附录X3敏捷型、迭代型、适应型和混合型项目环境,1249,/chapter/1250,X3.1,项目生命周期的连续区间,1250,,,,,,,,
63,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1262,X4.1,项目整合管理的核心概念,1262,,,,,,,,
64,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1263,X4.2,项目范围管理的核心概念,1263,,,,,,,,
65,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1264,X4.3,项目进度管理的核心概念,1264,,,,,,,,
66,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1265,X4.4,项目成本管理的核心概念,1265,,,,,,,,
67,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1266,X4.5,项目质量管理的核心概念,1266,,,,,,,,
68,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1267,X4.6,项目资源管理的核心概念,1267,,,,,,,,
69,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1268,X4.7,项目沟通管理的核心概念,1268,,,,,,,,
70,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1269,X4.8,项目风险管理的核心概念,1269,,,,,,,,
71,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1270,X4.9,项目采购管理的核心概念,1270,,,,,,,,
72,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1261,X4,附录X4知识领域关键概念总结,1261,/chapter/1271,X4.10,项目相关方管理的核心概念,1271,,,,,,,,
73,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1273,X5.1,项目整合管理,1273,,,,,,,,
74,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1274,X5.2,项目范围管理,1274,,,,,,,,
75,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1275,X5.3,项目进度管理,1275,,,,,,,,
76,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1276,X5.4,项目成本管理,1276,,,,,,,,
77,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1277,X5.5,项目质量管理,1277,,,,,,,,
78,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1278,X5.6,项目资源管理,1278,,,,,,,,
79,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1279,X5.7,项目沟通管理,1279,,,,,,,,
80,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1280,X5.8,项目风险管理,1280,,,,,,,,
81,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1281,X5.9,项目采购管理,1281,,,,,,,,
82,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1272,X5,附录X5知识领域裁剪考虑因素总结,1272,/chapter/1282,X5.10,项目相关方管理,1282,,,,,,,,
83,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1283,X6,附录X6工具与技术,1283,/chapter/1284,X6.1,简介,1284,,,,,,,,
84,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1283,X6,附录X6工具与技术,1283,/chapter/1285,X6.2,工具与技术分组,1285,,,,,,,,
85,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/102,2.2,事业环境因素,102,/chapter/103,2.2.1,组织内部的事业环境因素,103,,,,
86,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/102,2.2,事业环境因素,102,/chapter/104,2.2.2,组织外部的事业环境因素,104,,,,
87,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/105,2.3,组织过程资产,105,/chapter/106,2.3.1,过程、政策和程序,106,,,,
88,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/105,2.3,组织过程资产,105,/chapter/107,2.3.2,组织知识库,107,,,,
89,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/108,2.4,组织系统,108,/chapter/109,2.4.1,概述,109,,,,
90,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/108,2.4,组织系统,108,/chapter/110,2.4.2,组织治理框架,110,/chapter/111,2.4.2.1,治理框架,111
